"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","23547"
"query","Query:[ws(1, 129938434)]"
"Reference","Left","KWIC","Right"
"lo.no","eller det kan være ifm anbudskonkurranser. </s><s> Eksempler kan være hvis en kantine bytter driver, ett <coll>renholdsoppdrag</coll>","bytter","leverandør eller en virksomhet blir solgt. </s><s> Utgangspunktet er at du som arbeidstaker, følger med på kjøpet. </s><s> Men, kan du"
"ta.no","hadde sklidd og kilt seg fast under stigtrinnene på taket. </s><s> Ifølge TAs journalist på stedet skulle den eldre <coll>mannen</coll>","bytte","ut takstein. </s><s> - Han har kommet trygt ned, og brannvesenet vil returnere snart, sier vaktoperatøren til TA. </s><s> 80-åringen"
"gd.no","gjorde det som en reaksjon på enkelte biskopers uttalelser om homofile. </s><s> Kåpen var egentlig ferdig, men før <coll>levering</coll>","byttet","jeg ut fôret. </s><s> Det kostet meg 14 dagers arbeid og 10.000 kroner, forteller den anerkjente Lillehammer-kunstneren. </s>"
"tb.no","penger. </s><s> Forskjellen på gamle og nye kjellervinduer må du se for å tro! </s><s> 6) Skift strømleverandør! </s> <s> <coll>Strømleverandør</coll>","bytter","du lettere enn du tror. </s><s> Gjør det på mobil mens du venter på bussen! </s><s> (ANB) </s><s> Artikkeltags </s><s> Vanskelige kjøreforhold i"
"hi.no",", er melkeprodukter i dag den viktigste jodkilden i praksis. </s><s> – Men det spiser vi også mindre av. </s><s> Mange unge <coll>kvinner</coll>","bytter","for eksempel ut kumelka med plantemelk som i de fleste tilfeller ikke inneholder jod. </s><s> Nordmenn spiser mindre fisk og"
"tb.no","Krzoz stresser ved parkeringsautomaten i sentrum. </s><s> Micasa mener de har løsningen på problemet. </s><s> Micasa <coll>Parkering</coll>","bytter","i disse dager ut flere av sine parkeringsautomater i Tønsberg og tre andre Vestfold-byer. </s><s> De nye"
"dt.no","gratulasjoner. </s><s> Boka om slagdama er født og forløst. </s><s> Han er kjent fra ""Radioresepsjonen"" og ""Presten"" på NRK. </s> <s> <coll>Torsdag</coll>","byttet","han ut statskanalen med Union Scene. </s><s> DRAMMEN: Programleder og komiker Bjarte Tjøstheim (49) entret torsdag kveld"
"ba.no","keeper dommeren signaliserte. </s><s> Det så rett og slett feil ut, og Brann slapp med skrekken. </s><s> Etter 19 minutter måtte <coll>Herrem</coll>","bytte","ut som følge av en skade etter det ublide møtet med Branns amerikanske keeper. </s><s> Børven-scoring </s><s> Lysekloster var det"
"dt.no",". </s><s> Christian Spanne dunket inn mål etter mål fra sin kantposisjon, i tillegg til at DHK flere ganger straffet <coll>Elverum</coll> da","byttet","ut keeper i undertallsspillet. </s><s> Til og med DHKs keeper, Mathias Kolstad Holm, kom på scoringslisten da han reddet og"
"ta.no",". </s><s> 11. </s><s> Sampdoria - Bologna H </s><s> To strake seire til Sampdoria, mot Bolognas ene poeng på de to siste, gjør at disse <coll>lagene</coll> har","byttet","plass rundt midten. </s><s> Og siden en nesten alltid må ha med H i Italia, tar jeg sjansen på å spille den rein her. </s><s> 12. </s><s> Cagliari -"
"ta.no","forberede seg til den viktige bortekampen mot Viking til helgen enn å gå videre i cupen. </s><s> Trener Christian <coll>Michelsen</coll> har","byttet","på laget i hver kamp, og han vil helt sikkert også gjøre endringer til cupkampen mot Ranheim. </s><s> Sørli og Mendy kan fort være"
"sa.no","skal ha minst én ansatt per tre barn når barna er under tre år og én ansatt per seks barn når barna er over tre år. </s> <s> <coll>Sparta</coll>","bytter","ut sikkerhetsnett </s><s> Spartas markedssjef Lars Oddvar ""Loffen"" Fjeldvang forteller at det er bestilt ny netting over"
"opn.no","mange andre plasser, det viktigste for meg var å ikke gro fast, avslutter junioren fra Trønderlag. </s><s> Har begge <coll>løperne</coll>","byttet","til Järla? </s><s> Husker ikke at Forseth Indgaard ble presentert i Järla-saken her på OPN, men på denne kommentaren virker det"
"opn.no","Skrøvseth, som offensivt går ut med planene for Wing OK etter tapet av sin ledestjerne Øystein Kvaal Østerbø. </s> <s> <coll>Østebø</coll>","byttet","i vinter klubbadresse til SOK Lidingö i Stockholm. </s><s> VM-general Lars Skrøvseth blir manager i det nye elite-teamet i"
"opn.no","Lillomarka var det til slutt Raumar Orientering som sikret seg seieren i 15-stafetten. </s><s> De to Akershus/ <coll>Oslo-klubbene</coll>","byttet","om på å ha teten gjennom de 15 etappene. </s><s> På første etappe var det Lillomarka som slo an tonen, men Raumar var ikke langt bak"
"opn.no","på hele stadion. </s><s> Dermed blir det et behagelig nivå i hele området. </s><s> I orientering er dette vanskelig fordi man hele <coll>tiden</coll>","bytter","samlingsplass og det blir mye jobb. </s><s> Så dessverre må du nok bare leve med det. </s><s> [Svar] </s><s> Nå er jo ikke alle som ikke løper"
"snl.no","av i åpningsfasen, og man ender i et dronningløst midtspill. </s><s> Det er ikke mange åpninger der begge <coll>spillerne</coll> frivillig","bytter","vekk sin sterkeste angrepsbrikke etter åtte trekk. </s><s> Med færre åpenbare angrepsmuligheter er stillingene som oppstår"
"opn.no","har gitt malende skildringer av kostholdet og de hygieniske forhold som ble de reisende til del. </s><s> Anders <coll>Nordberg</coll>","bytter","til Nydalen </s><s> Blir også trener i klubben </s><s> - Anders blir ansatt i en 40 % stilling og har som mål å være tilstede på mange av de"
"snl.no",". 25 prosent av de sittende ordførerne meldte seg inn, og i løpet av okkupasjonen ble de aller fleste andre <coll>ordførerne</coll>","byttet","ut med NS-medlemmer. </s><s> De samme kravene ble stilt til fylkesmennene, og innen februar 1942 var alle fylkesmenn"
